field,ra,dec
1,0.0,89.8
2,58.7940268576351,86.0
3,98.7940268576351,86.0
4,138.794026857635,86.0
5,178.794026857635,86.0
6,218.794026857635,86.0
7,258.794026857635,86.0
8,298.794026857635,86.0
9,338.794026857635,86.0
10,18.7940268576351,86.0
11,17.6275960030665,81.1388888888889
12,41.6275960030665,81.1388888888889
13,65.6275960030665,81.1388888888889
14,89.6275960030665,81.1388888888889
15,113.627596003067,81.1388888888889
16,137.627596003067,81.1388888888889
17,161.627596003067,81.1388888888889
18,185.627596003067,81.1388888888889
19,209.627596003067,81.1388888888889
20,233.627596003067,81.1388888888889
21,257.627596003067,81.1388888888889
22,281.627596003067,81.1388888888889
23,305.627596003067,81.1388888888889
24,329.627596003067,81.1388888888889
25,353.627596003067,81.1388888888889
26,10.8974007026682,76.2777777777778
27,28.0402578455254,76.2777777777778
28,45.1831149883825,76.2777777777778
29,62.3259721312397,76.2777777777778
30,79.4688292740968,76.2777777777778
31,96.6116864169539,76.2777777777778
32,113.754543559811,76.2777777777778
33,130.897400702668,76.2777777777778
34,148.040257845525,76.2777777777778
35,165.183114988382,76.2777777777778
36,182.32597213124,76.2777777777778
37,199.468829274097,76.2777777777778
38,216.611686416954,76.2777777777778
39,233.754543559811,76.2777777777778
40,250.897400702668,76.2777777777778
41,268.040257845525,76.2777777777778
42,285.183114988382,76.2777777777778
43,302.32597213124,76.2777777777778
44,319.468829274097,76.2777777777778
45,336.611686416954,76.2777777777778
46,353.754543559811,76.2777777777778
47,7.98693532347977,71.4166666666667
48,21.3202686568131,71.4166666666667
49,34.6536019901465,71.4166666666667
50,47.9869353234798,71.4166666666667
51,61.3202686568131,71.4166666666667
52,74.6536019901465,71.4166666666667
53,87.9869353234798,71.4166666666667
54,101.320268656813,71.4166666666667
55,114.653601990146,71.4166666666667
56,127.98693532348,71.4166666666667
57,141.320268656813,71.4166666666667
58,154.653601990146,71.4166666666667
59,167.98693532348,71.4166666666667
60,181.320268656813,71.4166666666667
61,194.653601990146,71.4166666666667
62,207.98693532348,71.4166666666667
63,221.320268656813,71.4166666666667
64,234.653601990146,71.4166666666667
65,247.98693532348,71.4166666666667
66,261.320268656813,71.4166666666667
67,274.653601990146,71.4166666666667
68,287.98693532348,71.4166666666667
69,301.320268656813,71.4166666666667
70,314.653601990146,71.4166666666667
71,327.98693532348,71.4166666666667
72,341.320268656813,71.4166666666667
73,354.653601990146,71.4166666666667
74,6.35401623035335,66.5555555555556
75,17.2631071394443,66.5555555555556
76,28.1721980485352,66.5555555555556
77,39.081288957626,66.5555555555556
78,49.990379866717,66.5555555555556
79,60.8994707758079,66.5555555555556
80,71.8085616848988,66.5555555555556
81,82.7176525939897,66.5555555555556
82,93.6267435030806,66.5555555555556
83,104.535834412172,66.5555555555556
